Feature,Coefficient,AbsCoefficient
cat__Contract_Two year,-1.4663869870374946,1.4663869870374946
num__tenure,-1.2733770952360552,1.2733770952360552
cat__InternetService_Fiber optic,1.122780852717597,1.122780852717597
cat__Contract_One year,-0.9074832665868983,0.9074832665868983
cat__tenure_group_37+,0.594605432684268,0.594605432684268
cat__MultipleLines_Yes,0.42338777364638003,0.42338777364638003
cat__tenure_group_13-24,-0.42321755187364973,0.42321755187364973
cat__StreamingMovies_Yes,0.42123507678975736,0.42123507678975736
cat__tenure_group_25-36,-0.4153134826672887,0.4153134826672887
cat__PhoneService_Yes,-0.3837466108330025,0.3837466108330025
cat__OnlineSecurity_Yes,-0.3743610547275382,0.3743610547275382
num__MonthlyCharges,-0.3278964104794339,0.3278964104794339
cat__TechSupport_Yes,-0.3235656838041709,0.3235656838041709
cat__StreamingTV_Yes,0.32296398587940295,0.32296398587940295
cat__PaymentMethod_Electronic check,0.3087206086325188,0.3087206086325188
cat__Dependents_Yes,-0.2736479005300948,0.2736479005300948
num__TotalCharges,0.26197768382397396,0.26197768382397396
cat__PaperlessBilling_Yes,0.2463832814074593,0.2463832814074593
cat__StreamingMovies_No internet service,-0.15947025780848542,0.15947025780848542
cat__StreamingTV_No internet service,-0.15947025780848542,0.15947025780848542
